Shipment_ID,Customer_Name,Origin_City,Origin_State,Destination_City,Destination_State,Pickup_Date,Delivery_Date,Distance_Miles,Freight_Type,Status,Cost_USD,Revenue_USD,Fuel_Gallons,Deadhead_Miles
SHP0024,Miller-Greene,Little Rock,AR,Mobile,AL,6/16/2025,6/16/2025,1990,Dry Van,On Time,2890.20,3768.27,284.93,44
SHP0025,Waters-Wise,Montgomery,AL,Baton Rouge,LA,7/15/2025,7/15/2025,1645,Dry Van,Cancelled,2265.72,2876.35,248.90,211
SHP0026,Costa Ltd,Gulfport,MS,Nashville,TN,5/3/2025,5/3/2025,677,Dry Van,On Time,1083.61,1444.36,99.52,83
SHP0027,"Barnes, Moore and Scott",Dallas,TX,Greensboro,NC,4/29/2025,4/29/2025,273,Flatbed,On Time,343.22,473.29,38.63,28
SHP0028,"Horne, Hensley and Lucero",New Orleans,LA,Dallas,TX,4/30/2025,4/30/2025,1045,Dry Van,On Time,1314.75,1837.43,155.51,156
SHP0029,"Smith, Simpson and Brown",San Antonio,TX,Jackson,MS,5/7/2025,5/7/2025,1067,Dry Van,Delayed,1329.55,1848.00,144.31,42
SHP0030,Olsen PLC,Baton Rouge,LA,Jackson,MS,5/1/2025,5/1/2025,380,Dry Van,On Time,609.24,851.25,54.39,14
SHP0031,"Fleming, Rivera and Massey",Memphis,TN,Miami,FL,8/4/2025,8/4/2025,983,Flatbed,On Time,1292.73,1522.64,172.17,87
SHP0032,Cardenas-Ayers,Atlanta,GA,Montgomery,AL,2/27/2025,2/27/2025,1541,Refrigerated,Delayed,2455.20,3202.97,246.11,41
SHP0033,"Jones, Torres and Thomas",Charleston,SC,Knoxville,TN,8/9/2025,8/9/2025,1060,Flatbed,On Time,1402.95,1797.47,167.71,113
SHP0034,"Castaneda, Cole and Rogers",Fort Smith,AR,Gulfport,MS,3/24/2025,3/24/2025,1654,Dry Van,On Time,2377.51,2925.67,257.75,144
SHP0035,Hubbard Group,Memphis,TN,Augusta,GA,4/12/2025,4/12/2025,1965,Flatbed,On Time,3406.76,4468.72,333.04,92
SHP0036,Kirby and Sons,Little Rock,AR,Dallas,TX,6/12/2025,6/12/2025,1071,Dry Van,Delayed,1741.63,2156.30,187.11,79
SHP0037,Allen Inc,Charleston,SC,Fort Smith,AR,6/21/2025,6/21/2025,344,Flatbed,On Time,572.14,750.69,58.83,28
SHP0038,"Williams, Andersen and Lozano",New Orleans,LA,Augusta,GA,2/19/2025,2/19/2025,1679,Dry Van,On Time,2126.10,2474.78,298.79,120
SHP0039,Clark-Harper,Savannah,GA,Charlotte,NC,3/15/2025,3/15/2025,794,Flatbed,Delayed,1109.58,1322.45,143.43,43
SHP0040,Andrews-Lopez,Columbia,SC,Augusta,GA,8/3/2025,8/3/2025,1303,Flatbed,On Time,2311.58,3062.07,220.89,38
SHP0041,Carter-Anderson,New Orleans,LA,Fort Smith,AR,3/5/2025,3/5/2025,1608,Flatbed,On Time,2555.94,3127.97,245.44,223
SHP0042,King-Jones,New Orleans,LA,Columbia,SC,6/14/2025,6/14/2025,717,Refrigerated,On Time,1290.56,1720.19,122.36,66
SHP0043,"Hunter, Becker and Medina",Birmingham,AL,Shreveport,LA,8/11/2025,8/11/2025,787,Flatbed,Delayed,1019.87,1337.38,125.93,107
SHP0044,"Friedman, Rivera and Mora",Fayetteville,AR,New Orleans,LA,3/24/2025,3/24/2025,509,Flatbed,Delayed,811.71,958.26,77.45,70
SHP0045,Smith LLC,Atlanta,GA,Little Rock,AR,4/2/2025,4/2/2025,1678,Refrigerated,On Time,2133.80,2799.17,294.38,209
SHP0046,Hill Ltd,Tampa,FL,Dallas,TX,7/26/2025,7/26/2025,1556,Flatbed,On Time,2447.14,3376.73,234.85,210
SHP0047,Clarke Inc,Little Rock,AR,Memphis,TN,8/11/2025,8/11/2025,644,Refrigerated,On Time,875.89,1080.13,108.33,57
SHP0048,"Castro, Medina and Edwards",Shreveport,LA,Nashville,TN,3/2/2025,3/2/2025,1854,Flatbed,On Time,2667.22,3544.39,313.64,190
SHP0049,Chandler-Serrano,Dallas,TX,Nashville,TN,2/15/2025,2/15/2025,1896,Refrigerated,On Time,3001.25,4140.79,328.88,50
SHP0050,Leonard Ltd,Tampa,FL,Little Rock,AR,6/30/2025,6/30/2025,480,Refrigerated,On Time,666.43,848.57,80.19,59
SHP0051,Stephens-Williams,Charleston,SC,Atlanta,GA,8/10/2025,8/10/2025,738,Dry Van,Delayed,944.63,1119.92,99.43,20
SHP0052,Thompson PLC,Baton Rouge,LA,Little Rock,AR,4/9/2025,4/13/2025,1847,Flatbed,On Time,3145.09,4036.80,250.33,40
SHP0053,"Gonzalez, Jackson and Brown",Fort Smith,AR,Orlando,FL,5/25/2025,5/25/2025,987,Dry Van,On Time,1344.08,1865.09,147.36,125
SHP0054,"Jones, Allen and Thompson",Fort Smith,AR,Greenville,SC,6/6/2025,6/6/2025,1840,Flatbed,On Time,2431.87,3354.31,311.22,125
SHP0055,Rose-Miller,Nashville,TN,San Antonio,TX,5/18/2025,5/18/2025,801,Dry Van,On Time,1322.38,1828.28,137.75,104
SHP0056,Owens-Black,San Antonio,TX,New Orleans,LA,5/28/2025,5/28/2025,1832,Refrigerated,On Time,3197.42,3863.73,256.89,159
SHP0057,Ritter LLC,Montgomery,AL,Nashville,TN,6/2/2025,6/2/2025,1231,Dry Van,On Time,2199.75,2780.28,212.20,171
SHP0058,Kelly and Sons,Greensboro,NC,Memphis,TN,6/12/2025,6/12/2025,1883,Flatbed,On Time,3375.30,4439.97,269.46,165
SHP0059,"Vincent, Dennis and Hubbard",Gulfport,MS,San Antonio,TX,4/29/2025,4/29/2025,995,Dry Van,On Time,1446.79,1829.55,145.23,36
SHP0060,"Bishop, Hicks and Patel",Miami,FL,Nashville,TN,5/1/2025,5/1/2025,553,Dry Van,On Time,888.66,1199.94,100.00,75
SHP0061,Garcia PLC,Charleston,SC,Montgomery,AL,2/13/2025,2/13/2025,1795,Dry Van,Cancelled,2557.75,3393.88,324.32,209
SHP0062,Taylor-Elliott,New Orleans,LA,Birmingham,AL,5/28/2025,5/28/2025,1317,Refrigerated,Cancelled,2271.65,2653.55,194.06,92
SHP0063,"Buckley, Nelson and Jones",Gulfport,MS,Raleigh,NC,6/21/2025,6/21/2025,404,Dry Van,On Time,657.45,821.92,56.04,26
SHP0064,Peters-Reilly,Greensboro,NC,Fayetteville,AR,6/20/2025,6/23/2025,1578,Refrigerated,On Time,2835.83,3431.94,217.25,158
SHP0065,Brooks-Russo,Memphis,TN,Orlando,FL,6/4/2025,6/4/2025,1141,Dry Van,On Time,1412.32,1949.37,159.47,48
SHP0066,"Mclaughlin, Walker and Zuniga",Montgomery,AL,Hattiesburg,MS,5/15/2025,5/15/2025,432,Refrigerated,Cancelled,570.58,756.64,58.00,43
SHP0067,Taylor-Ward,Augusta,GA,Shreveport,LA,7/6/2025,7/6/2025,1043,Refrigerated,On Time,1334.99,1631.61,167.24,103
SHP0068,Frazier Group,Fort Smith,AR,Augusta,GA,7/13/2025,7/13/2025,980,Dry Van,On Time,1427.97,1930.29,134.66,46
SHP0069,Gray Group,Little Rock,AR,Charleston,SC,6/3/2025,6/3/2025,1609,Refrigerated,On Time,2369.45,3283.09,266.48,108
SHP0070,"Thompson, Young and Conway",Augusta,GA,Dallas,TX,4/13/2025,4/13/2025,1926,Dry Van,Delayed,2896.57,3582.73,265.17,117
SHP0071,Phillips-King,Shreveport,LA,Gulfport,MS,3/7/2025,3/13/2025,1548,Refrigerated,On Time,2748.56,3466.93,225.95,141
SHP0072,"Douglas, Rowe and Jackson",Baton Rouge,LA,Raleigh,NC,4/6/2025,4/6/2025,568,Dry Van,On Time,789.23,937.45,93.03,38
SHP0073,Carlson and Sons,Houston,TX,Columbia,SC,6/6/2025,6/10/2025,1982,Dry Van,On Time,2889.60,3578.74,271.36,148
SHP0074,Gonzalez-Phillips,Little Rock,AR,New Orleans,LA,6/20/2025,6/20/2025,611,Dry Van,Delayed,989.20,1167.54,82.01,49
SHP0075,"Robertson, Brown and Flores",Atlanta,GA,Knoxville,TN,4/27/2025,4/27/2025,1215,Flatbed,On Time,1550.00,2056.16,209.78,41
SHP0076,Keller and Sons,New Orleans,LA,Miami,FL,5/17/2025,5/17/2025,613,Flatbed,On Time,788.84,941.61,104.73,70
SHP0077,Walker and Sons,Savannah,GA,Baton Rouge,LA,3/21/2025,3/21/2025,1896,Flatbed,On Time,3222.15,4046.26,334.29,260
SHP0078,Miller-Carr,Columbia,SC,San Antonio,TX,6/3/2025,6/3/2025,493,Refrigerated,Delayed,785.93,964.19,66.15,50
SHP0079,Vargas-Zimmerman,Dallas,TX,Greenville,SC,7/7/2025,7/10/2025,726,Refrigerated,On Time,1201.08,1657.76,102.92,75
SHP0080,"Hudson, Gamble and Watkins",Savannah,GA,New Orleans,LA,8/6/2025,8/9/2025,1702,Flatbed,On Time,2492.83,2967.86,256.38,105
SHP0081,Rodriguez and Sons,Memphis,TN,Fayetteville,AR,3/13/2025,3/13/2025,1283,Flatbed,On Time,1645.12,2102.35,197.44,72
SHP0082,"Bell, Aguilar and Ross",Charlotte,NC,Columbia,SC,4/14/2025,4/18/2025,362,Dry Van,On Time,614.70,771.16,51.87,7
SHP0083,Hughes and Sons,Birmingham,AL,Houston,TX,6/21/2025,6/21/2025,1651,Dry Van,On Time,2555.96,3097.32,223.27,83
SHP0084,Thomas-Jones,Nashville,TN,Greensboro,NC,8/6/2025,8/6/2025,476,Refrigerated,On Time,811.51,1093.29,67.06,18
SHP0085,"Wu, Curtis and Young",Montgomery,AL,Atlanta,GA,3/24/2025,3/24/2025,165,Dry Van,On Time,222.96,267.07,26.04,21
SHP0086,"Vazquez, Mooney and Mercado",Miami,FL,Jackson,MS,3/12/2025,3/12/2025,1822,Flatbed,On Time,3153.37,3695.39,251.57,113
SHP0087,Perez PLC,Baton Rouge,LA,Dallas,TX,6/9/2025,6/9/2025,1783,Flatbed,On Time,2561.55,3367.70,314.51,195
SHP0088,Williams LLC,Raleigh,NC,Birmingham,AL,7/18/2025,7/18/2025,1318,Dry Van,On Time,2267.44,2865.67,230.26,104
SHP0089,Hoffman Ltd,Birmingham,AL,Columbia,SC,6/7/2025,6/9/2025,961,Flatbed,On Time,1270.32,1734.60,130.28,132
SHP0090,"Allen, Ryan and Jacobs",New Orleans,LA,Hattiesburg,MS,6/22/2025,6/22/2025,827,Flatbed,On Time,1336.28,1563.30,138.89,61
SHP0091,Pitts-Jackson,Fort Smith,AR,Knoxville,TN,2/26/2025,3/2/2025,1874,Dry Van,On Time,2822.29,3690.16,298.80,86
SHP0092,Ritter LLC,Shreveport,LA,Charlotte,NC,3/2/2025,3/2/2025,544,Refrigerated,On Time,875.31,1042.58,76.82,18
SHP0093,Walton Ltd,San Antonio,TX,New Orleans,LA,5/16/2025,5/16/2025,1877,Dry Van,On Time,3278.33,4162.62,253.07,46
SHP0094,"Cunningham, Anderson and Palmer",Orlando,FL,Birmingham,AL,5/20/2025,5/20/2025,1341,Refrigerated,Delayed,2290.83,3036.58,184.16,177
SHP0095,Kirk-Medina,New Orleans,LA,Little Rock,AR,6/7/2025,6/7/2025,277,Flatbed,Delayed,474.26,595.49,43.33,9
SHP0096,Nelson-George,Knoxville,TN,Charlotte,NC,6/3/2025,6/3/2025,599,Dry Van,On Time,970.17,1210.96,96.68,44
SHP0097,Sanchez-Kelly,Nashville,TN,Shreveport,LA,7/7/2025,7/7/2025,1253,Dry Van,Delayed,2123.31,2772.55,174.87,162
SHP0098,"Thompson, Valentine and Mendez",New Orleans,LA,Tampa,FL,8/4/2025,8/4/2025,364,Flatbed,On Time,484.82,632.25,59.86,42
SHP0099,"Koch, Cummings and Sellers",Nashville,TN,San Antonio,TX,4/12/2025,4/12/2025,1954,Refrigerated,Delayed,2374.62,2858.85,289.43,269
SHP0100,"Martin, Dalton and Lane",Nashville,TN,Birmingham,AL,7/18/2025,7/18/2025,1646,Refrigerated,On Time,2870.12,3716.55,220.25,66
SHP0101,"Garcia, Reyes and Myers",Birmingham,AL,Charleston,SC,4/12/2025,4/12/2025,1851,Flatbed,On Time,2922.83,3984.18,308.51,142
SHP0102,"Baker, Conley and Cruz",Fort Smith,AR,Orlando,FL,5/2/2025,5/2/2025,1685,Dry Van,Delayed,2042.68,2533.44,274.70,94
SHP0103,"Estrada, Garcia and Vance",Houston,TX,Baton Rouge,LA,7/12/2025,7/12/2025,1972,Dry Van,On Time,2911.22,3833.72,292.37,217
SHP0104,"Perez, Carter and Lutz",Fort Smith,AR,Miami,FL,6/28/2025,6/28/2025,998,Refrigerated,Delayed,1478.64,2036.17,165.53,26
SHP0105,Vang LLC,Charleston,SC,Fayetteville,AR,6/10/2025,6/10/2025,1738,Refrigerated,On Time,2999.61,3495.13,315.67,227
SHP0106,Wilson-Johnson,Tampa,FL,Nashville,TN,7/26/2025,7/26/2025,1730,Dry Van,On Time,2291.09,2964.90,259.44,111
SHP0107,"Lopez, Smith and Brown",Raleigh,NC,Columbia,SC,3/10/2025,3/10/2025,1116,Refrigerated,On Time,1608.72,2100.42,156.63,166
SHP0108,Jimenez PLC,Miami,FL,Shreveport,LA,4/30/2025,4/30/2025,208,Flatbed,On Time,272.53,358.57,35.01,20
SHP0109,Wood-Powers,Miami,FL,Greensboro,NC,4/26/2025,4/26/2025,311,Dry Van,On Time,402.72,477.66,45.12,9
SHP0110,Brown Group,Birmingham,AL,Little Rock,AR,8/4/2025,8/4/2025,208,Flatbed,On Time,356.35,447.90,29.28,30
SHP0111,Werner-White,Augusta,GA,Knoxville,TN,3/8/2025,3/8/2025,1129,Flatbed,On Time,1739.14,2033.50,155.15,67
SHP0112,Anderson Ltd,Charleston,SC,Augusta,GA,6/4/2025,6/4/2025,1509,Flatbed,On Time,2602.64,3308.62,231.86,132
SHP0113,"Bryant, Cruz and Lee",Atlanta,GA,Shreveport,LA,7/17/2025,7/17/2025,553,Refrigerated,On Time,937.41,1285.13,87.49,27
SHP0114,Pennington Ltd,Atlanta,GA,Nashville,TN,4/2/2025,4/2/2025,1425,Flatbed,On Time,2042.83,2379.50,191.32,156
SHP0115,Aguirre-Sullivan,Montgomery,AL,New Orleans,LA,7/14/2025,7/14/2025,1397,Flatbed,On Time,1782.34,2463.97,236.96,58
SHP0116,"Mcdonald, Patel and Nicholson",Dallas,TX,Orlando,FL,6/3/2025,6/3/2025,1840,Dry Van,Delayed,2939.21,3778.84,273.62,95
SHP0117,Tanner-Richardson,Tampa,FL,Nashville,TN,7/2/2025,7/2/2025,1309,Flatbed,On Time,2081.15,2749.23,183.09,68
SHP0118,Stevens-Martin,Dallas,TX,Birmingham,AL,5/22/2025,5/22/2025,1632,Flatbed,On Time,2040.52,2605.22,253.16,62
SHP0119,"Campbell, Arnold and Powell",New Orleans,LA,Mobile,AL,3/17/2025,3/17/2025,1382,Flatbed,On Time,2452.73,3350.79,198.22,151
SHP0120,"Boyd, Miller and Wilson",Memphis,TN,Tampa,FL,3/21/2025,3/21/2025,398,Refrigerated,Delayed,509.57,588.89,57.28,13
SHP0121,Bates Inc,Fayetteville,AR,Savannah,GA,6/29/2025,6/29/2025,1635,Dry Van,On Time,2028.88,2549.67,233.15,36
SHP0122,Howard Group,Shreveport,LA,Little Rock,AR,5/18/2025,5/18/2025,607,Dry Van,On Time,839.45,1011.74,85.65,33
SHP0123,Garrett Group,Orlando,FL,Charlotte,NC,6/14/2025,6/14/2025,1571,Dry Van,On Time,2532.60,3014.78,236.11,58
SHP0124,"Molina, Wheeler and Ferrell",Montgomery,AL,Charlotte,NC,3/3/2025,3/3/2025,999,Refrigerated,Cancelled,1629.80,2170.67,135.14,48
SHP0125,"Sullivan, Anderson and Williams",Miami,FL,Gulfport,MS,6/1/2025,6/1/2025,449,Flatbed,On Time,706.42,889.57,61.41,49
SHP0126,Brown-Banks,Jackson,MS,Charlotte,NC,5/21/2025,5/21/2025,484,Refrigerated,On Time,732.65,945.81,84.56,56
SHP0127,Oconnor PLC,Greenville,SC,Fayetteville,AR,3/7/2025,3/7/2025,610,Refrigerated,On Time,808.19,1012.94,110.80,21
SHP0128,Mueller Group,Jackson,MS,Memphis,TN,5/29/2025,5/29/2025,101,Flatbed,On Time,123.02,160.77,13.97,9
SHP0129,Barnes Group,Memphis,TN,Fort Smith,AR,3/24/2025,3/26/2025,529,Dry Van,On Time,942.27,1122.80,89.28,51
SHP0130,Phillips Group,Dallas,TX,Jackson,MS,3/14/2025,3/14/2025,1497,Dry Van,Delayed,2260.80,2865.44,259.19,157
SHP0131,Gardner-Gould,Greensboro,NC,Orlando,FL,5/29/2025,5/29/2025,1077,Dry Van,On Time,1440.94,1881.25,165.77,148
SHP0132,"Terry, Williams and Patterson",Fort Smith,AR,Memphis,TN,4/28/2025,4/28/2025,790,Flatbed,Delayed,1143.39,1529.13,115.65,22
SHP0133,Gardner-Martinez,Raleigh,NC,Mobile,AL,6/3/2025,6/3/2025,990,Refrigerated,On Time,1477.62,1727.99,140.64,107
SHP0134,"Petersen, Jacobs and Valentine",Greensboro,NC,Greenville,SC,7/17/2025,7/17/2025,924,Refrigerated,On Time,1453.54,1878.70,129.34,113
SHP0135,Williams Group,Greensboro,NC,San Antonio,TX,7/13/2025,7/13/2025,1628,Refrigerated,On Time,2790.60,3471.71,242.77,92
SHP0136,Kidd and Sons,Savannah,GA,Little Rock,AR,8/10/2025,8/10/2025,1345,Dry Van,On Time,2320.72,3188.31,200.65,180
SHP0137,Lozano-Reed,Greenville,SC,Raleigh,NC,2/24/2025,2/24/2025,829,Refrigerated,Delayed,1012.36,1289.44,133.62,111
SHP0138,"Miller, Johnson and Daniels",Shreveport,LA,Augusta,GA,5/28/2025,6/1/2025,1145,Refrigerated,Delayed,1781.06,2222.50,158.45,147
SHP0139,Garcia-Gilbert,Dallas,TX,Fort Smith,AR,8/6/2025,8/6/2025,1164,Flatbed,On Time,1561.34,1837.05,190.53,143
SHP0140,Friedman Group,Greenville,SC,Raleigh,NC,5/6/2025,5/6/2025,510,Dry Van,Delayed,704.38,923.73,87.64,67
SHP0141,Smith-Scott,New Orleans,LA,Greenville,SC,4/20/2025,4/25/2025,1449,Dry Van,Cancelled,1883.99,2351.33,219.81,196
SHP0142,"Solomon, Kim and Savage",Dallas,TX,Jackson,MS,3/3/2025,3/3/2025,734,Refrigerated,On Time,925.82,1072.45,120.37,63
SHP0143,"Morris, Perez and Boyle",Orlando,FL,Nashville,TN,4/17/2025,4/17/2025,1190,Flatbed,On Time,1497.54,1758.55,191.81,74
SHP0144,Murray Ltd,Montgomery,AL,Charleston,SC,5/12/2025,5/12/2025,681,Dry Van,On Time,903.86,1147.27,123.25,21
SHP0145,Ponce-Hamilton,Tampa,FL,Augusta,GA,5/31/2025,5/31/2025,1590,Refrigerated,On Time,2674.42,3367.19,284.39,62
SHP0146,Parker-Barrett,Montgomery,AL,Fayetteville,AR,5/15/2025,5/15/2025,872,Refrigerated,On Time,1103.57,1367.22,143.07,32
SHP0147,"Wilkinson, Olson and Gonzalez",Birmingham,AL,Nashville,TN,8/2/2025,8/2/2025,1280,Dry Van,On Time,1880.89,2391.85,174.97,69
SHP0148,Gates LLC,Columbia,SC,Tampa,FL,3/12/2025,3/12/2025,146,Dry Van,On Time,247.24,334.66,20.01,12
SHP0149,"Pierce, Mullins and Skinner",Little Rock,AR,Gulfport,MS,7/22/2025,7/22/2025,1006,Refrigerated,On Time,1276.28,1509.59,167.31,142
SHP0150,Johnson-Smith,Gulfport,MS,Birmingham,AL,5/9/2025,5/9/2025,1470,Dry Van,On Time,2197.78,2550.60,219.32,58
SHP0151,Martinez and Sons,Tampa,FL,Columbia,SC,5/3/2025,5/3/2025,1173,Flatbed,On Time,1856.46,2323.81,156.59,38
SHP0152,"Hunter, Arroyo and Herrera",Charleston,SC,Tampa,FL,6/2/2025,6/2/2025,1198,Dry Van,Delayed,1512.88,1757.55,196.06,33
SHP0153,"Miller, Bailey and Pennington",Raleigh,NC,Hattiesburg,MS,4/24/2025,4/24/2025,1209,Refrigerated,On Time,2171.50,2572.07,165.86,164
SHP0154,"Poole, Mejia and Jones",Augusta,GA,Jackson,MS,3/23/2025,3/23/2025,910,Refrigerated,On Time,1448.28,1842.12,135.15,74
SHP0155,"Burch, Gomez and Stone",Hattiesburg,MS,Raleigh,NC,5/19/2025,5/19/2025,1575,Refrigerated,Cancelled,2573.74,3545.64,271.73,220
SHP0156,Green-Owen,Little Rock,AR,Gulfport,MS,3/13/2025,3/13/2025,268,Flatbed,Delayed,396.71,545.96,39.90,14
SHP0157,Keller-Roberts,Hattiesburg,MS,Miami,FL,4/22/2025,4/22/2025,1178,Refrigerated,On Time,1990.32,2776.07,160.51,122
SHP0158,Rodriguez LLC,Shreveport,LA,Fort Smith,AR,5/5/2025,5/5/2025,746,Refrigerated,On Time,905.55,1107.52,106.55,31
SHP0159,Henderson-Abbott,Atlanta,GA,Columbia,SC,5/9/2025,5/9/2025,346,Dry Van,Delayed,620.85,795.73,48.91,10
SHP0160,"Brennan, Burch and Nichols",Montgomery,AL,Augusta,GA,5/21/2025,5/21/2025,477,Refrigerated,On Time,807.58,940.48,71.69,51
SHP0161,Jones LLC,Knoxville,TN,Raleigh,NC,4/21/2025,4/21/2025,1657,Dry Van,On Time,2638.02,3617.29,246.53,208
SHP0162,Sellers-Guerrero,Charleston,SC,Atlanta,GA,5/12/2025,5/12/2025,1623,Refrigerated,On Time,2644.10,3546.56,274.83,190
SHP0163,Bradford Group,Augusta,GA,Shreveport,LA,5/3/2025,5/3/2025,1112,Refrigerated,Cancelled,1403.55,1947.65,162.07,32
SHP0164,Salas-Bell,Hattiesburg,MS,Columbia,SC,3/21/2025,3/21/2025,127,Dry Van,On Time,183.64,241.50,17.93,4
SHP0165,"Gonzalez, Payne and Price",Orlando,FL,Mobile,AL,6/26/2025,6/26/2025,532,Refrigerated,On Time,851.85,1189.89,75.18,36
SHP0166,"Lopez, Thomas and Davis",Gulfport,MS,Charlotte,NC,3/13/2025,3/13/2025,1092,Flatbed,On Time,1943.50,2404.00,195.22,61
SHP0167,"Lester, Grant and Briggs",Greenville,SC,Savannah,GA,5/4/2025,5/4/2025,919,Dry Van,On Time,1107.79,1321.55,130.98,39
SHP0168,Bailey-Sparks,Greenville,SC,Greensboro,NC,2/24/2025,2/26/2025,354,Flatbed,On Time,628.17,801.93,60.15,33
SHP0169,Berry-Weber,Baton Rouge,LA,Dallas,TX,2/21/2025,2/21/2025,1493,Dry Van,On Time,2477.39,2925.18,236.44,117
SHP0170,"Fernandez, Smith and Esparza",Nashville,TN,Montgomery,AL,6/26/2025,6/29/2025,1146,Flatbed,On Time,1588.42,1917.84,163.03,128
SHP0171,"Peterson, Clark and Kane",Mobile,AL,Tampa,FL,6/11/2025,6/11/2025,1985,Dry Van,Delayed,2578.00,3458.96,276.59,130
SHP0172,Crane-Green,Birmingham,AL,Dallas,TX,5/29/2025,5/29/2025,779,Flatbed,On Time,1332.82,1654.23,112.89,46
SHP0173,"Reynolds, Mccarty and Mann",Jackson,MS,Baton Rouge,LA,5/25/2025,5/25/2025,1616,Dry Van,On Time,2202.93,3067.85,267.81,133
SHP0174,"Stafford, Diaz and Morales",Columbia,SC,San Antonio,TX,5/3/2025,5/3/2025,1963,Refrigerated,On Time,2665.70,3560.81,334.30,235
SHP0175,Estrada-Moody,Hattiesburg,MS,New Orleans,LA,7/16/2025,7/16/2025,812,Dry Van,On Time,1149.74,1449.74,117.69,78
SHP0176,Johnson-Evans,Augusta,GA,Birmingham,AL,2/13/2025,2/13/2025,556,Refrigerated,On Time,671.13,909.59,81.57,28
SHP0177,Erickson Inc,Houston,TX,Greensboro,NC,4/13/2025,4/16/2025,1707,Flatbed,On Time,2969.80,3883.22,288.76,247
SHP0178,Fisher and Sons,Jackson,MS,Orlando,FL,4/6/2025,4/6/2025,1761,Refrigerated,On Time,3047.95,4119.80,278.24,62
